BIB_NO,Gender,Event,Time,Status
1,M,메디오폰도,03:59:46,
3,M,메디오폰도,03:59:47,
5,M,그란폰도,05:26:19,
6,M,메디오폰도,03:38:45,
7,F,그란폰도,05:14:00,
8,M,메디오폰도,05:28:10,
10,M,그란폰도,05:48:28,
11,M,메디오폰도,04:06:03,
12,M,메디오폰도,04:21:51,
13,M,메디오폰도,04:06:08,
14,M,메디오폰도,04:05:58,
15,M,메디오폰도,04:21:57,
18,M,메디오폰도,03:17:41,
19,M,메디오폰도,04:07:43,
21,M,메디오폰도,04:17:05,
22,M,그란폰도,,DNF
23,F,메디오폰도,04:14:31,
24,M,그란폰도,05:09:58,
25,F,메디오폰도,04:13:34,
26,F,메디오폰도,04:13:36,
27,M,메디오폰도,04:13:31,
28,M,메디오폰도,04:13:35,
1001,M,그란폰도,05:32:52,
1002,M,그란폰도,05:05:58,
1003,M,그란폰도,06:30:33,
1005,M,그란폰도,05:56:01,
1006,M,메디오폰도,04:49:25,
1007,M,그란폰도,05:16:34,
1009,M,그란폰도,05:05:06,
1010,M,그란폰도,05:09:20,
1011,M,그란폰도,06:36:53,
1013,M,메디오폰도,05:39:20,
1014,M,그란폰도,06:27:04,
1016,M,그란폰도,04:29:04,
1017,M,그란폰도,05:28:39,
1019,M,그란폰도,05:13:20,
1020,M,그란폰도,06:09:29,
1022,M,그란폰도,06:06:35,
1023,M,그란폰도,05:43:16,
1024,M,그란폰도,05:50:38,
1027,M,그란폰도,05:57:20,
1028,M,그란폰도,05:25:46,
1029,M,그란폰도,04:28:58,
1030,M,메디오폰도,04:59:50,
1031,M,그란폰도,05:36:11,
1033,M,그란폰도,05:50:23,
1034,M,그란폰도,06:43:16,
1036,M,메디오폰도,05:30:23,
1038,M,그란폰도,05:53:46,
1040,M,그란폰도,05:18:54,
1041,M,그란폰도,04:31:09,
1042,M,메디오폰도,04:09:46,
1044,M,그란폰도,04:52:27,
1047,M,그란폰도,05:39:42,
1048,M,그란폰도,05:47:33,
1050,M,그란폰도,06:33:31,
1051,M,그란폰도,05:54:49,
1053,M,그란폰도,06:33:33,
1055,M,그란폰도,05:21:57,
1056,F,그란폰도,07:02:55,
1057,M,그란폰도,04:29:31,
1058,M,그란폰도,05:56:46,
1059,M,메디오폰도,03:43:58,
1060,M,그란폰도,04:35:36,
1062,M,메디오폰도,03:39:45,
1063,M,그란폰도,05:26:20,
1064,M,그란폰도,05:45:18,
1066,F,메디오폰도,05:15:35,
1067,F,그란폰도,04:38:35,
1068,M,그란폰도,05:04:43,
1069,M,그란폰도,04:48:28,
1070,M,그란폰도,06:05:06,
1071,M,메디오폰도,05:04:19,
1072,M,메디오폰도,04:03:37,
1073,M,그란폰도,04:56:34,
1075,F,메디오폰도,03:26:28,
1076,M,그란폰도,05:22:32,
1077,M,그란폰도,06:35:32,
1078,M,그란폰도,05:13:23,
1079,M,그란폰도,04:22:51,
1080,M,그란폰도,05:52:38,
1081,M,메디오폰도,04:56:53,
1082,M,그란폰도,05:54:59,
1083,M,그란폰도,06:29:04,
1085,F,메디오폰도,05:27:12,
1086,M,그란폰도,05:32:36,
1087,M,그란폰도,04:39:14,
1089,M,그란폰도,,DNF
1090,M,그란폰도,05:37:59,
1091,M,그란폰도,04:34:43,
1092,M,그란폰도,,DNF
1093,M,메디오폰도,04:34:14,
1094,M,그란폰도,05:02:20,
1097,M,그란폰도,06:27:57,
1099,M,메디오폰도,04:17:28,
1101,M,그란폰도,04:37:32,
1103,M,그란폰도,05:39:03,
1105,M,그란폰도,05:18:47,
1108,M,메디오폰도,04:52:53,
1109,M,메디오폰도,04:49:46,
1110,M,그란폰도,06:04:44,
1112,M,메디오폰도,04:46:33,
1113,M,메디오폰도,04:33:42,
1114,F,그란폰도,,DNF
1115,M,그란폰도,06:38:53,
1116,M,그란폰도,05:19:05,
1117,M,그란폰도,04:11:05,
1118,M,그란폰도,05:40:48,
1119,M,그란폰도,05:34:41,
1120,M,그란폰도,05:33:48,
1121,M,메디오폰도,04:24:43,
1122,M,그란폰도,05:45:26,
1123,M,메디오폰도,02:34:47,
1124,M,메디오폰도,03:40:58,
1125,M,그란폰도,06:47:38,
1126,M,그란폰도,05:43:18,
1127,M,메디오폰도,04:23:41,
1128,M,그란폰도,06:43:45,
1129,M,그란폰도,05:31:02,
1130,M,그란폰도,04:38:50,
1131,M,그란폰도,05:58:59,
1132,M,메디오폰도,04:12:45,
1133,M,메디오폰도,04:37:19,
1134,M,그란폰도,06:10:44,
1135,M,그란폰도,06:01:53,
1136,M,메디오폰도,04:04:39,
1137,M,그란폰도,05:54:51,
1138,M,메디오폰도,04:12:11,
1139,M,그란폰도,05:07:43,
1140,M,메디오폰도,04:43:59,
1142,M,그란폰도,06:15:05,
1143,M,그란폰도,05:31:28,
1144,M,그란폰도,04:56:11,
1146,M,그란폰도,,DNF
1147,M,그란폰도,04:41:55,
1149,M,그란폰도,05:15:28,
1150,M,그란폰도,04:40:02,
1151,M,메디오폰도,04:36:49,
1153,M,그란폰도,05:48:54,
1154,M,그란폰도,05:52:30,
1155,M,그란폰도,,DNF
1156,M,그란폰도,05:54:47,
1157,M,메디오폰도,04:49:08,
1158,M,메디오폰도,05:10:07,
1159,M,메디오폰도,03:57:16,
1160,M,그란폰도,06:28:14,
1161,M,그란폰도,05:15:11,
1163,M,메디오폰도,04:23:12,
1165,M,그란폰도,04:53:47,
1166,M,그란폰도,05:55:51,
1167,F,그란폰도,06:39:42,
1168,F,메디오폰도,04:10:03,
1172,M,그란폰도,05:18:38,
1173,M,그란폰도,04:53:15,
1174,F,그란폰도,05:08:10,
1175,M,그란폰도,,DNF
1178,M,그란폰도,04:32:20,
1180,M,메디오폰도,04:20:46,
1181,M,그란폰도,04:10:54,
1182,M,그란폰도,05:33:00,
1183,M,그란폰도,05:27:05,
1184,M,그란폰도,04:40:18,
1186,M,그란폰도,04:52:35,
1187,M,그란폰도,05:12:33,
1190,M,그란폰도,05:59:54,
1192,M,그란폰도,05:39:23,
1193,M,메디오폰도,03:53:52,
1195,M,그란폰도,06:08:20,
1197,F,그란폰도,05:21:26,
